source,target,weight
business process,conceptual,1
business process,cyber security implementation,1
business process,cyber security provision,1
business process,government agency,1
business process,government cyber security planning,1
business process,investment decision,1
business process,organizational context,1
business process,organizational impact,1
business process,performance impact,1
business process,sociotechnical,1
business process,understanding information security,1
conceptual,cyber security implementation,1
conceptual,cyber security provision,1
conceptual,government agency,1
conceptual,government cyber security planning,1
conceptual,investment decision,1
conceptual,organizational context,1
conceptual,organizational impact,1
conceptual,performance impact,1
conceptual,sociotechnical,1
conceptual,understanding information security,1
cyber security implementation,cyber security provision,1
cyber security implementation,government agency,1
cyber security implementation,government cyber security planning,1
cyber security implementation,investment decision,1
cyber security implementation,organizational context,1
cyber security implementation,organizational impact,1
cyber security implementation,performance impact,1
cyber security implementation,sociotechnical,1
cyber security implementation,understanding information security,1
cyber security provision,government agency,1
cyber security provision,government cyber security planning,1
cyber security provision,investment decision,1
cyber security provision,organizational context,1
cyber security provision,organizational impact,1
cyber security provision,performance impact,1
cyber security provision,sociotechnical,1
cyber security provision,understanding information security,1
government agency,government cyber security planning,1
government agency,investment decision,1
government agency,organizational context,1
government agency,organizational impact,1
government agency,performance impact,1
government agency,sociotechnical,1
government agency,understanding information security,1
government cyber security planning,investment decision,1
government cyber security planning,organizational context,1
government cyber security planning,organizational impact,1
government cyber security planning,performance impact,1
government cyber security planning,sociotechnical,1
government cyber security planning,understanding information security,1
investment decision,organizational context,1
investment decision,organizational impact,1
investment decision,performance impact,1
investment decision,sociotechnical,1
investment decision,understanding information security,1
organizational context,organizational impact,1
organizational context,performance impact,1
organizational context,sociotechnical,1
organizational context,understanding information security,1
organizational impact,performance impact,1
organizational impact,sociotechnical,1
organizational impact,understanding information security,1
performance impact,sociotechnical,1
performance impact,understanding information security,1
sociotechnical,understanding information security,1
collaboration activity,computer science education,1
collaboration activity,courseware,1
collaboration activity,cyber security,1
collaboration activity,data,1
collaboration activity,groupware,1
collaboration activity,information assurance education,1
collaboration activity,information security,1
collaboration activity,interactive simulation software package,1
collaboration activity,interactive system,1
collaboration activity,security,1
computer science education,courseware,1
computer science education,cyber security,1
computer science education,data,1
computer science education,groupware,1
computer science education,information assurance education,1
computer science education,information security,1
computer science education,interactive simulation software package,1
computer science education,interactive system,1
computer science education,security,1
courseware,cyber security,1
courseware,data,1
courseware,groupware,1
courseware,information assurance education,1
courseware,information security,1
courseware,interactive simulation software package,1
courseware,interactive system,1
courseware,security,1
cyber security,data,1
cyber security,groupware,1
cyber security,information assurance education,1
cyber security,information security,1
cyber security,interactive simulation software package,1
cyber security,interactive system,1
cyber security,security,1
cyber security,blog,1
cyber security,cyber crime,1
cyber security,cyber terrorism,1
cyber security,data mining,2
cyber security,probabilistic latent semantic,1
cyber security,weblog,1
cyber security,cipher key distribution,1
cyber security,dense wavelength division multiplexing,1
cyber security,enterprise network layer,1
cyber security,optical communications security,1
cyber security,optical fibre network,1
cyber security,optical network security,1
cyber security,physical link signature,1
cyber security,quantum cryptography,1
cyber security,source authentication,1
cyber security,telecommunication security,1
cyber security,wavelength division multiplexing,1
cyber security,cognitive issue,1
cyber security,data mining practice,1
cyber security,fuzzy logic,1
cyber security,integrate fuzzy logic,1
cyber security,large database,1
cyber security,real world,1
cyber security,significant pattern,1
cyber security,data acquisition,1
cyber security,electric power,1
cyber security,kepco scada network,1
cyber security,key policy,1
cyber security,proper key distribution,1
cyber security,representative,1
cyber security,scada,1
cyber security,scada network,2
cyber security,scada network communication,1
cyber security,supervisory control,1
cyber security,symmetric encryption,1
cyber security,symmetric encryption application,1
cyber security,computer network,1
cyber security,cyber attack,1
cyber security,information fusion,1
cyber security,intrusion detection,1
cyber security,modeling,1
cyber security,network security,1
cyber security,simulation,1
cyber security,additional load,1
cyber security,communication network,1
cyber security,increased cyber attack,1
cyber security,information technology network,1
cyber security,key distribution period,1
cyber security,network performance,1
cyber security,network traffic,1
cyber security,power system,1
cyber security,qos function,1
cyber security,contextual reasoning,1
cyber security,prediction,1
data,groupware,1
data,information assurance education,1
data,information security,1
data,interactive simulation software package,1
data,interactive system,1
data,security,2
data,automation,1
data,control architecture,1
data,control engineering computing,1
data,cybersecurity,1
data,electric power control,1
data,nerc cip 1200,1
data,power engineering computing,1
data,power system control,1
data,power system security,1
data,reliability,1
data,standards,1
data,vulnerability assessment,1
groupware,information assurance education,1
groupware,information security,1
groupware,interactive simulation software package,1
groupware,interactive system,1
groupware,security,1
information assurance education,information security,1
information assurance education,interactive simulation software package,1
information assurance education,interactive system,1
information assurance education,security,1
information security,interactive simulation software package,1
information security,interactive system,1
information security,security,1
information security,computer security,1
information security,cybersecurity,1
information security,information system,1
information security,information technology,1
information security,intelligent transportation,1
information security,mobile communication,1
information security,national security,1
information security,productivity,1
information security,terrorism,1
information security,transportation,1
information security,travel industry,1
information security,bill neugent,1
information security,chief engineer,1
information security,cross-boundary information sharing,1
information security,cybersecurity expert,1
information security,debut novel,1
information security,extensive work,1
information security,information assurance,1
information security,information integration,1
information security,intelligence community,1
interactive simulation software package,interactive system,1
interactive simulation software package,security,1
interactive system,security,1
security,cognition,1
security,cognitive,1
security,cognitive agent,1
security,cognitive architecture,1
security,cybersecurity,2
security,data mining,1
security,information storage,1
security,intelligent agent,1
security,intelligent security agent,1
security,intrusion detection,1
security,large database,1
security,multi-agent,1
security,network administrator,1
security,pace university,1
security,statistical data mining,1
security,vmsoar project,1
security,alert,1
security,assessment,1
security,correlation,1
security,cyber,5
security,fusion,1
security,information,2
security,situation,1
security,threat,1
security,afford,1
security,current,1
security,electric,1
security,exchange,1
security,functionality,1
security,infrastructure,2
security,issue,2
security,new,1
security,opportunity,1
security,power,2
security,sensitivity,1
security,system,1
security,timely,1
security,vulnerability,1
security,activity,1
security,application,1
security,aspect,1
security,characteristic,1
security,complex,1
security,defense,1
security,design,1
security,expert,1
security,large,1
security,model,1
security,network,1
security,overall,1
security,tool,1
security,automation,1
security,control architecture,1
security,control engineering computing,1
security,electric power control,1
security,nerc cip 1200,1
security,power engineering computing,1
security,power system control,1
security,power system security,1
security,reliability,1
security,standards,1
security,vulnerability assessment,1
security,architecture,1
security,best,1
security,concern,1
security,control,1
security,critical,1
security,electrical,1
security,gas,1
security,generation,1
security,nature,1
security,oil,1
security,population,1
security,practice,1
security,retrofit,1
security,risk,1
security,sector,1
security,segmentation,1
security,transmission,1
blog,cyber crime,1
blog,cyber terrorism,1
blog,data mining,1
blog,probabilistic latent semantic,1
blog,weblog,1
cyber crime,cyber terrorism,1
cyber crime,data mining,1
cyber crime,probabilistic latent semantic,1
cyber crime,weblog,1
cyber terrorism,data mining,1
cyber terrorism,probabilistic latent semantic,1
cyber terrorism,weblog,1
data mining,probabilistic latent semantic,1
data mining,weblog,1
data mining,cognition,1
data mining,cognitive,1
data mining,cognitive agent,1
data mining,cognitive architecture,1
data mining,cybersecurity,1
data mining,information storage,1
data mining,intelligent agent,1
data mining,intelligent security agent,1
data mining,intrusion detection,1
data mining,large database,2
data mining,multi-agent,1
data mining,network administrator,1
data mining,pace university,1
data mining,statistical data mining,1
data mining,vmsoar project,1
data mining,cognitive issue,1
data mining,data mining practice,1
data mining,fuzzy logic,1
data mining,integrate fuzzy logic,1
data mining,real world,1
data mining,significant pattern,1
probabilistic latent semantic,weblog,1
computer security,cybersecurity,1
computer security,information system,1
computer security,information technology,1
computer security,intelligent transportation,1
computer security,mobile communication,1
computer security,national security,1
computer security,productivity,1
computer security,terrorism,1
computer security,transportation,1
computer security,travel industry,1
cybersecurity,information system,1
cybersecurity,information technology,1
cybersecurity,intelligent transportation,1
cybersecurity,mobile communication,1
cybersecurity,national security,1
cybersecurity,productivity,1
cybersecurity,terrorism,1
cybersecurity,transportation,1
cybersecurity,travel industry,1
cybersecurity,cognition,1
cybersecurity,cognitive,1
cybersecurity,cognitive agent,1
cybersecurity,cognitive architecture,1
cybersecurity,information storage,1
cybersecurity,intelligent agent,1
cybersecurity,intelligent security agent,1
cybersecurity,intrusion detection,1
cybersecurity,large database,1
cybersecurity,multi-agent,1
cybersecurity,network administrator,1
cybersecurity,pace university,1
cybersecurity,statistical data mining,1
cybersecurity,vmsoar project,1
cybersecurity,automation,1
cybersecurity,control architecture,1
cybersecurity,control engineering computing,1
cybersecurity,electric power control,1
cybersecurity,nerc cip 1200,1
cybersecurity,power engineering computing,1
cybersecurity,power system control,1
cybersecurity,power system security,1
cybersecurity,reliability,1
cybersecurity,standards,1
cybersecurity,vulnerability assessment,1
