source,target,weight
cyber security,cyber warfare,1
cyber security,digital sovereignty,2
cyber security,international law,1
cyber security,internet governance,1
cyber security,cyber deterrence,1
cyber security,cybercrime,1
cyber security,european arrest warrant,1
cyber security,data protection,1
cyber security,digital rights,1
cyber security,ecommerce,1
cyber security,privacy regulation,1
cyber warfare,digital sovereignty,1
cyber warfare,international law,1
cyber warfare,internet governance,1
digital sovereignty,international law,1
digital sovereignty,internet governance,1
digital sovereignty,cyber deterrence,1
digital sovereignty,cybercrime,1
digital sovereignty,european arrest warrant,1
international law,internet governance,1
cyber deterrence,cybercrime,1
cyber deterrence,european arrest warrant,1
cybercrime,european arrest warrant,1
data protection,digital rights,1
data protection,ecommerce,1
data protection,privacy regulation,1
digital rights,ecommerce,1
digital rights,privacy regulation,1
ecommerce,privacy regulation,1
