source,target,weight
attack graph,cyber security,1
attack graph,information security,1
attack graph,policy compliance,1
attack graph,security awareness,1
cyber security,information security,1
cyber security,policy compliance,1
cyber security,security awareness,1
cyber security,cyber warfare,1
cyber security,digital sovereignty,1
information security,policy compliance,1
information security,security awareness,1
policy compliance,security awareness,1
cyber warfare,digital sovereignty,1
cybersecurity,deep learning,1
cybersecurity,densely connected convolutional network,1
cybersecurity,malware detection,1
cybersecurity,malware visualization,1
deep learning,densely connected convolutional network,1
deep learning,malware detection,1
deep learning,malware visualization,1
densely connected convolutional network,malware detection,1
densely connected convolutional network,malware visualization,1
malware detection,malware visualization,1
