source,target,weight
ahp,cyber security,1
ahp,data envelopment analysis,1
ahp,knowledge management,1
ahp,multi-criteria data analytics,1
ahp,ontology modeling,1
ahp,reputation,1
ahp,talent discovery,1
cyber security,data envelopment analysis,1
cyber security,knowledge management,2
cyber security,multi-criteria data analytics,1
cyber security,ontology modeling,1
cyber security,reputation,1
cyber security,talent discovery,1
cyber security,big data,5
cyber security,freedom of expression,1
cyber security,human rights,1
cyber security,national security,3
cyber security,privacy,3
cyber security,surveillance,1
cyber security,critical infrastructure,7
cyber security,design science,1
cyber security,information security management,1
cyber security,context inference,1
cyber security,data fusion,1
cyber security,event correlation,1
cyber security,event processing,1
cyber security,pattern mining,1
cyber security,situational awareness,3
cyber security,distributed denial of service,1
cyber security,network security,5
cyber security,signal processing,2
cyber security,cyber physical,3
cyber security,dos attack,1
cyber security,energy market,1
cyber security,automotive,2
cyber security,hacking,1
cyber security,type approval regulation,1
cyber security,advanced metering infrastructure,1
cyber security,key management,1
cyber security,smart grid,10
cyber security,cloud computing,6
cyber security,filtration process,1
cyber security,knowledge graph,1
cyber security,individual difference,1
cyber security,information security,9
cyber security,information security awareness,1
cyber security,personality,1
cyber security,risk,1
cyber security,access control,1
cyber security,architecture,1
cyber security,cloud,3
cyber security,internet of things,5
cyber security,virtual object,1
cyber security,functional testing,1
cyber security,game theory,6
cyber security,hardware trojan,1
cyber security,integrated circuit,1
cyber security,analytics,1
cyber security,anomaly detection,5
cyber security,energy,2
cyber security,scopf,1
cyber security,cyber attack,12
cyber security,cyber threat,2
cyber security,data,4
cyber security,data protection,1
cyber security,data security,1
cyber security,data threat,1
cyber security,strategy,1
cyber security,cloud architecture,1
cyber security,cloud stakeholders,1
cyber security,mean failure cost,1
cyber security,mfc dimension,1
cyber security,threat,2
cyber security,cluster,1
cyber security,military,1
cyber security,parallella,1
cyber security,raspberry pi,1
cyber security,sbc,1
cyber security,single board computer,1
cyber security,data center,1
cyber security,physical security,2
cyber security,software defined networking,1
cyber security,industrial control,5
cyber security,supervisory control and data acquisition,3
cyber security,vulnerability,6
cyber security,cyber attacker,1
cyber security,encryption,2
cyber security,grid,1
cyber security,ieee 9-bus standard,1
cyber security,malicious data detection,1
cyber security,malicious data injection,1
cyber security,outage,1
cyber security,power,3
cyber security,spy node,1
cyber security,cyber incident reporting,2
cyber security,information sharing,3
cyber security,organizational aspect,1
cyber security,standardization,1
cyber security,communication,1
cyber security,discourse,1
cyber security,fear appeal,1
cyber security,policy,2
cyber security,defense,2
cyber security,nash equilibrium,2
cyber security,security assessment,1
cyber security,big data architecture,1
cyber security,hadoop,1
cyber security,machine learning,7
cyber security,predictive analytics,1
cyber security,functional safety,1
cyber security,hardware software interface,1
cyber security,iso 26262,1
cyber security,benchmarking,1
cyber security,botnet trust,1
cyber security,budget,1
cyber security,cybercrime,3
cyber security,cyberroad,1
cyber security,ddos,1
cyber security,definition,1
cyber security,economic cost,1
cyber security,enisa,1
cyber security,ewi,1
cyber security,financial,1
cyber security,governance,2
cyber security,government,1
cyber security,impact,2
cyber security,insurance,1
cyber security,measurement,2
cyber security,metrics,1
cyber security,quantifiable,1
cyber security,research gap,1
cyber security,security,3
cyber security,social,1
cyber security,standard,1
cyber security,taxonomy,2
cyber security,adsb,1
cyber security,intrusion detection,7
cyber security,code clone,1
cyber security,software diversity,1
cyber security,bayesian stackelberg game,1
cyber security,moving target defense,2
cyber security,web application,1
cyber security,active command mediation,1
cyber security,autonomous command delaying,1
cyber security,iec 60870,1
cyber security,iec 61850,2
cyber security,malicious remote control commands,1
cyber security,mitigation mechanism,1
cyber security,power grid stability,1
cyber security,remote control interface,1
cyber security,substation,1
cyber security,substation automation,1
cyber security,substation digitization,1
cyber security,attack origination,1
cyber security,country to country network,1
cyber security,cultural factor,1
cyber security,economic factor,1
cyber security,information and communication technology infrastructure,1
cyber security,internet bandwidth,1
cyber security,per capita gdp,1
cyber security,political factor,1
cyber security,social factor,1
cyber security,societal event,1
cyber security,unsafe cyber activity,1
cyber security,experiment,1
cyber security,metric,1
cyber security,model,1
cyber security,quantification,1
cyber security,virtualization,1
cyber security,architecture metric,1
cyber security,distributed control,2
cyber security,electric power,1
cyber security,testing metric,1
cyber security,data analytics,1
cyber security,immune system,1
cyber security,interdependency,1
cyber security,simulation,2
cyber security,communication network,2
cyber security,ict,1
